PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2007_ALABAMA,ALABAMA,2007,743273,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077,687816,3592,55972,57795,58792,46200,466414,216941,742919,229,266,216,252
2007_ALASKA,ALASKA,2007,132197,1800616,282270,1052357,465989,1938755,927307,645857,60699,257723,1679,9625,9420,9953,10092,77676,42049,131029,237,283,214,259
2007_ARIZONA,ARIZONA,2007,969875,8724434,953861,4204089,3566484,8709531,3977800,2656438,403069,1436673,15854,86742,82876,81196,76275,668290,316376,1087447,232,276,210,255
2007_ARKANSAS,ARKANSAS,2007,474532,4415981,483689,3319030,613262,4779308,2337748,1378576,450454,470562,12795,38192,35710,35944,30708,288518,138921,479016,238,274,217,258
2007_CALIFORNIA,CALIFORNIA,2007,6288686,72516936,7200298,42333637,22983001,73225422,34685013,20655194,3467540,10058842,68002,454743,467305,490054,468281,3801685,2011865,6343471,230,270,209,251
2007_COLORADO,COLORADO,2007,790211,7689014,529854,3307016,3852144,8039146,3782300,2483095,286754,1083411,25649,61576,59449,58396,55334,478501,236141,801867,240,286,224,266
2007_CONNECTICUT,CONNECTICUT,2007,549230,8913149,386553,3299175,5227421,8685421,4610572,2503468,311943,913165,14180,39889,42488,43670,40927,339965,176592,570626,243,282,227,267
2007_DELAWARE,DELAWARE,2007,114678,1694929,102114,1071957,520858,1705204,825084,481610,68343,245757,583,8817,9085,10176,7681,75619,37555,122574,242,283,225,265
2007_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2007,56943,1148358,134700,0,1013658,1140506,491992,437772,40703,167103,7146,5306,4807,5182,4002,40295,20242,78422,214,248,197,241
2007_FLORIDA,FLORIDA,2007,2656176,28898362,2489027,11578932,14830403,29849892,13476109,8136539,1515095,5992654,46917,197467,195859,193970,169832,1611475,810952,2666811,242,277,224,260
2007_GEORGIA,GEORGIA,2007,1628409,17755989,1475463,7907177,8373349,17389530,9507096,4672304,757339,2271958,39908,129791,125404,124544,95443,1008878,471012,1649589,235,275,219,259
2007_HAWAII,HAWAII,2007,180728,2985593,256696,2681049,47848,2199604,1177781,732536,151243,138044,1531,15042,13652,13420,11234,108882,54246,179897,234,269,213,251
2007_IDAHO,IDAHO,2007,262935,2011951,202977,1338182,470792,1960472,1069134,590192,86738,163583,2880,21295,20658,20557,18598,166996,80948,272119,241,284,223,265
2007_ILLINOIS,ILLINOIS,2007,2101075,23897153,1862627,7566377,14468149,23401917,11692204,7509591,834000,2082140,77843,145755,152895,161310,144342,1249311,639896,2112805,237,280,219,263
2007_INDIANA,INDIANA,2007,1034588,10458932,765168,5224450,4469314,11462062,5511104,3351081,448190,887670,10755,75445,78204,80850,71755,643350,317214,1046764,245,285,222,264
2007_IOWA,IOWA,2007,483122,5194536,390585,2279228,2524723,5198975,2557629,1480218,221002,647628,12487,37819,34590,36040,39114,279198,155611,485115,243,285,225,267
2007_KANSAS,KANSAS,2007,468974,5038100,346441,2889107,1802552,4823931,2602503,1418802,199749,427238,13477,35471,34383,34572,33149,276250,140893,468295,248,290,225,267
2007_KENTUCKY,KENTUCKY,2007,646360,6226696,677570,3557084,1992042,6351636,3184235,1877438,371495,755710,17985,49986,49250,49723,41958,401215,196772,666225,235,279,222,262
2007_LOUISIANA,LOUISIANA,2007,662302,7048732,1234006,2911249,2903477,6657341,3430268,2140586,363037,618284,26631,53062,56201,51355,37806,419856,181489,681038,230,272,207,253
2007_MAINE,MAINE,2007,193539,2538161,198101,1081891,1258169,2501127,1459635,710785,111153,91361,2635,13710,14238,15334,16322,114397,65503,196245,242,286,226,270
2007_MARYLAND,MARYLAND,2007,851640,11674965,661677,4684827,6328461,11541225,6031042,3503877,474728,1170502,27179,59455,60281,65088,61767,489845,269221,845700,240,286,225,265
2007_MASSACHUSETTS,MASSACHUSETTS,2007,945070,14407777,754202,6485380,7168195,14315518,8053653,4248353,422102,951016,25853,67900,71443,73318,68757,572523,296032,962958,252,298,236,273
2007_MICHIGAN,MICHIGAN,2007,1686473,20576110,1541818,11383198,7651094,19839838,9608836,6721838,871870,1629007,27207,125592,118931,126608,126380,970882,549291,1692739,238,277,220,260
2007_MINNESOTA,MINNESOTA,2007,810104,9693509,546297,6267386,2879826,10030105,5048143,2405182,730882,1074228,12795,60140,59431,63189,74749,485245,279398,837578,247,292,225,268
2007_MISSISSIPPI,MISSISSIPPI,2007,494135,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539,379581,2805,38662,37274,37948,27688,306944,137033,494122,228,265,208,250
2007_MISSOURI,MISSOURI,2007,910142,8908844,730811,3641310,4536723,9245525,4743390,2738098,485391,925265,22691,67314,67996,68636,65443,541741,285442,917188,239,281,221,263
2007_MONTANA,MONTANA,2007,144258,1474306,190631,702476,581199,1442434,793711,463422,58824,100592,539,10601,10503,11180,11057,85165,46448,142823,244,287,227,271
2007_NEBRASKA,NEBRASKA,2007,287135,3234014,298196,992032,1943786,3117931,1673992,845739,131267,378827,10091,22588,20519,21047,22400,167416,91149,291244,238,284,223,267
2007_NEVADA,NEVADA,2007,422782,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918,731227,2834,31682,33760,34121,21828,271876,121752,429362,232,271,211,252
2007_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2007,198625,2600123,137058,936882,1526183,2608190,1395619,733978,70608,208008,2614,10489,15026,16218,15959,121256,66413,200772,249,288,229,270
2007_NEW_JERSEY,NEW_JERSEY,2007,1363804,25293076,991769,10101279,14200028,25572112,13250745,8316185,868012,1997462,28540,91115,98195,100884,97078,794703,411332,1382348,249,289,231,270
2007_NEW_MEXICO,NEW_MEXICO,2007,327816,3272953,444466,2360542,467945,3279467,1610295,1103097,119933,396529,5378,25796,24452,25063,19594,198544,99322,329040,228,268,212,251
2007_NEW_YORK,NEW_YORK,2007,2754976,50762544,3269310,22845772,24647462,51253984,31465706,12638159,1318628,4216048,48561,184672,191647,205135,185680,1571259,852342,2765435,243,280,224,264
2007_NORTH_CAROLINA,NORTH_CAROLINA,2007,1416028,13063307,1184934,7481148,4397225,12794086,6987589,3582953,642597,1166854,16927,120998,115076,114543,85893,934399,417168,1489492,242,284,218,259
2007_NORTH_DAKOTA,NORTH_DAKOTA,2007,96577,1045678,150165,355662,539851,1042175,523778,283833,69691,90844,909,6730,6935,7472,7662,55853,31567,95059,245,292,226,268
2007_OHIO,OHIO,2007,1758645,22142424,1461326,9341723,11339375,21336580,10202242,6930905,876199,2595974,32815,130889,132634,139939,134417,1077618,585862,1827184,245,285,226,268
2007_OKLAHOMA,OKLAHOMA,2007,639032,5491931,650579,2782356,2058996,5505213,2688963,1732136,526547,502002,35270,49306,46787,45831,39321,375505,178400,642065,237,275,217,260
2007_OREGON,OREGON,2007,559643,5648586,526411,2908595,2213580,5634955,2999104,1908603,199410,293730,1310,39820,42750,43018,45559,341853,181719,565586,236,284,215,266
2007_PENNSYLVANIA,PENNSYLVANIA,2007,1760451,25334577,1821479,8593421,14919677,25627083,11994620,7333616,1022492,2533079,12490,122769,129837,143406,139930,1069191,595727,1801971,244,286,226,268
2007_RHODE_ISLAND,RHODE_ISLAND,2007,147861,2100679,165167,817792,1117720,2082332,1177636,731694,85397,20234,1770,9840,11028,12098,10848,87549,48470,147629,236,275,219,258
2007_SOUTH_CAROLINA,SOUTH_CAROLINA,2007,701580,7130274,680718,3120416,3329140,7660995,3481608,2157719,384965,1290372,22812,52314,52715,54067,39459,429440,207751,712317,237,282,214,257
2007_SOUTH_DAKOTA,SOUTH_DAKOTA,2007,121158,1136570,174096,371645,590829,1096568,573916,335382,50283,105370,1335,9688,8935,9248,8901,72401,38182,121606,241,288,223,270
2007_TENNESSEE,TENNESSEE,2007,978084,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587,593354,14937,75289,72454,70745,62040,579042,282508,964259,233,274,216,259
2007_TEXAS,TEXAS,2007,4513835,44355326,4423644,15952564,23979118,45920825,21061312,12451077,2073350,6654163,217751,356706,346491,332671,273867,2800227,1300148,4674832,242,286,220,261
2007_UTAH,UTAH,2007,504079,3656090,343915,1977900,1334275,3618540,1816456,871613,266481,579188,9487,47591,44748,41114,40375,353180,165986,576244,239,281,221,262
2007_VERMONT,VERMONT,2007,89329,1836316,97086,1237083,502147,1804519,800453,439237,41603,70359,4556,6161,6490,7039,7714,52379,30942,94038,246,291,228,273
2007_VIRGINIA,VIRGINIA,2007,1220440,14176385,890144,5796043,7490198,14700853,7630837,4338027,573603,1473546,28684,89656,90397,93896,85413,732104,380413,1230857,244,288,227,267
2007_WASHINGTON,WASHINGTON,2007,1026121,10350748,801339,6339782,3209627,10682397,5148806,3028183,463389,1624443,10012,72165,76673,78219,78429,615230,332840,1030247,243,285,224,265
2007_WEST_VIRGINIA,WEST_VIRGINIA,2007,281298,2905489,353571,1677212,874706,2983267,1608247,941055,189649,228873,12247,21300,20217,21330,18625,164998,83990,282535,236,270,215,255
2007_WISCONSIN,WISCONSIN,2007,870584,10154985,574090,5175386,4405509,9988878,5459295,3147269,420699,467948,37773,59590,59995,64135,72380,487849,289421,874633,244,286,223,264
2007_WYOMING,WYOMING,2007,85034,1477891,111051,722364,644476,1390344,661713,428613,42353,246698,413,6891,6493,6711,6246,51939,27179,86422,244,287,225,266
2008_ALABAMA,ALABAMA,2008,742919,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746,816799,6470,56205,58593,57809,46763,465403,217590,745668,,,,
2008_ALASKA,ALASKA,2008,130624,2188587,303399,1419318,465870,2274819,1113396,740000,65654,307512,1905,9744,9756,9673,9787,77614,41399,130662,,,,
2008_ARIZONA,ARIZONA,2008,987332,9272152,989340,4458836,3823976,9581201,4251747,2878922,443634,1571620,16748,87229,83793,81576,76735,667539,316048,1087817,,,,
2008_ARKANSAS,ARKANSAS,2008,476110,4608356,488378,3487063,632915,4720720,2388502,1462092,248189,463449,13254,37997,36345,35387,30256,289953,137196,478965,,,,
2008_CALIFORNIA,CALIFORNIA,2008,6258421,74626928,7227456,43187637,24211835,76618865,36542347,22310865,3692956,9388155,70497,461063,463904,486390,476156,3770281,2013687,6322528,,,,
2008_COLORADO,COLORADO,2008,796824,8070129,543952,3398303,4127874,8884786,4221868,2765773,314078,1157579,28280,63985,61058,58733,55936,488039,238139,818443,,,,
2008_CONNECTICUT,CONNECTICUT,2008,544417,9322225,386592,3520752,5414881,9046750,4878853,2669596,313708,826090,14952,40684,41792,43027,40743,336582,174980,567198,,,,
2008_DELAWARE,DELAWARE,2008,114062,1694998,104304,1037624,553070,1746925,852701,494996,72590,241390,738,9458,9521,9908,8120,76615,38619,125430,,,,
2008_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2008,58191,1224312,85568,0,1138744,1224785,520090,439197,43032,202768,7451,5122,4595,4540,3444,38190,17891,68681,,,,
2008_FLORIDA,FLORIDA,2008,2645680,30001821,2480218,11830218,15691385,31219589,14392625,8465282,1558863,5980134,48233,193428,198129,200736,167705,1607634,781725,2631020,,,,
2008_GEORGIA,GEORGIA,2008,1646010,18683630,1449557,8432720,8801353,19172087,10289480,5115445,813562,2703375,40726,129336,127285,123857,96131,1015622,470108,1655792,,,,
2008_HAWAII,HAWAII,2008,179897,2541703,310732,2154313,76658,2242408,1281836,742938,123179,94455,1607,15475,13739,12665,11326,108733,53481,179478,,,,
2008_IDAHO,IDAHO,2008,265844,2151476,205035,1409151,537290,2001328,1124302,627415,94898,93431,2797,21516,21450,20623,18826,169241,81497,275051,,,,
2008_ILLINOIS,ILLINOIS,2008,2099118,25431714,1996023,8357924,15077767,25696866,12676038,8161836,885452,2559210,92782,146969,152951,159272,147796,1239444,640512,2119707,,,,
2008_INDIANA,INDIANA,2008,1033329,11340157,808860,5367296,5164001,10865851,5504992,3433093,461943,941950,11487,76308,78842,80874,72989,642226,316126,1046147,,,,
2008_IOWA,IOWA,2008,485114,5496908,391985,2465108,2639815,5495756,2737356,1560614,220771,672361,17022,38522,35031,35324,38050,280022,151993,487559,,,,
2008_KANSAS,KANSAS,2008,467743,5378095,344198,3138799,1895098,5122049,2770019,1540862,213301,428160,14271,36267,34965,34366,32267,278255,139086,471060,,,,
2008_KENTUCKY,KENTUCKY,2008,666019,6637062,697220,3841470,2098372,6793215,3422359,2027937,402041,760566,18660,50643,49875,49668,43326,402718,197748,670030,,,,
2008_LOUISIANA,LOUISIANA,2008,662971,7751886,1290154,3376556,3085176,7599993,3879560,2344416,397140,787702,28564,52660,57165,51910,38234,422989,180660,684873,,,,
2008_MAINE,MAINE,2008,193058,2594335,194914,1122001,1277420,2582293,1359995,843451,135557,113571,2893,13475,13860,14886,15423,112956,63611,192935,,,,
2008_MARYLAND,MARYLAND,2008,845700,13098112,701595,5499326,6897191,12739693,6614339,3878575,500507,1358068,26821,60530,59512,63639,60916,489122,267388,843861,,,,
2008_MASSACHUSETTS,MASSACHUSETTS,2008,937677,14633578,742093,6114211,7777274,14631545,8479345,4447719,441653,655884,26796,68540,70666,73170,68329,570479,292372,958910,,,,
2008_MICHIGAN,MICHIGAN,2008,1661936,20441973,1492685,11170772,7778516,20703780,9608877,6735708,896352,1375044,29772,124451,117432,123823,126352,952522,535452,1659921,,,,
2008_MINNESOTA,MINNESOTA,2008,807929,10118118,558886,6513673,3045559,10462624,5242058,2589268,768142,1136550,13522,61982,59822,62080,74202,484680,275864,836048,,,,
2008_MISSISSIPPI,MISSISSIPPI,2008,493302,4449009,708253,2389484,1351272,4363308,2286231,1364586,264883,377201,3106,38511,38159,37889,28288,305584,136917,491962,,,,
2008_MISSOURI,MISSOURI,2008,898350,9335599,723460,3808601,4803538,9900419,5004354,2939293,518600,1070552,25435,67690,67620,68030,66266,542286,282460,917871,,,,
2008_MONTANA,MONTANA,2008,142695,1562815,185898,766328,610589,1557678,831718,491537,62756,141860,963,10802,10558,10890,10670,85104,45030,141899,,,,
2008_NEBRASKA,NEBRASKA,2008,290912,3383157,321975,1091160,1970022,3325663,1784350,869629,135025,444442,11046,22790,20939,20958,22246,169076,89678,292590,,,,
2008_NEVADA,NEVADA,2008,428776,4338601,280898,2493641,1564062,4881218,2094491,1329327,150730,1058467,3393,32188,34099,34394,23330,272468,125034,433371,,,,
2008_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2008,195668,2715463,136012,1008333,1571118,2715961,1495009,783298,74069,163893,2834,10968,14613,15783,15419,119193,64939,197934,,,,
2008_NEW_JERSEY,NEW_JERSEY,2008,1353191,25916004,976009,10359646,14580349,26168480,13739017,8737387,899413,1625458,30746,93504,99242,100894,97515,795554,409500,1381420,,,,
2008_NEW_MEXICO,NEW_MEXICO,2008,329045,3569311,467492,2542639,559180,3599724,1732652,1129277,125528,569550,6365,25680,25119,24366,19940,199370,98830,330245,,,,
2008_NEW_YORK,NEW_YORK,2008,2727552,53147343,3129776,24036865,25980702,54870811,33446544,13610428,1375430,4805621,50758,187194,190067,201895,185896,1552130,839837,2740592,,,,
2008_NORTH_CAROLINA,NORTH_CAROLINA,2008,1408316,13610326,1240410,8009636,4360280,13731201,7229214,3566002,718663,1728313,24678,117282,114909,111050,88724,916966,429719,1488645,,,,
2008_NORTH_DAKOTA,NORTH_DAKOTA,2008,94959,1104803,145770,383307,575726,1085970,552250,300054,73451,88292,1262,7217,6812,7364,7608,55476,30773,94728,,,,
2008_OHIO,OHIO,2008,1743920,22746589,1523431,9777048,11446110,21951104,10494471,7164617,896835,2568654,37873,130405,132680,137479,134522,1071216,577669,1817163,,,,
