State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1992_AL,AL,1992,2678885.0,2653798.0,8224.0,55460.0,57948.0,58025.0,41167.0,0.0,0.0,731634.0
1992_AK,AK,1992,1049591.0,972488.0,2371.0,10152.0,9748.0,8789.0,6714.0,0.0,0.0,122487.0
1992_AZ,AZ,1992,3258079.0,3401580.0,2544.0,53497.0,55433.0,49081.0,37410.0,0.0,0.0,673477.0
1992_AR,AR,1992,1711959.0,1743022.0,808.0,33511.0,34632.0,36011.0,27651.0,0.0,0.0,441490.0
1992_CA,CA,1992,26260025.0,27138832.0,59067.0,431763.0,418418.0,363296.0,270675.0,0.0,0.0,5254844.0
1992_CO,CO,1992,3185173.0,3264826.0,7410.0,47588.0,50648.0,45025.0,34533.0,0.0,0.0,612635.0
1992_CT,CT,1992,3834302.0,3721338.0,5731.0,41319.0,38058.0,33691.0,28366.0,0.0,0.0,488476.0
1992_DE,DE,1992,645233.0,638784.0,463.0,8025.0,8272.0,8012.0,6129.0,0.0,0.0,104321.0
1992_DC,DC,1992,709480.0,742893.0,4818.0,6667.0,5832.0,5000.0,3433.0,0.0,0.0,80937.0
1992_FL,FL,1992,11506299.0,11305642.0,31464.0,161701.0,164416.0,142372.0,100835.0,0.0,0.0,1981407.0
1992_GA,GA,1992,5536901.0,5535942.0,3303.0,100745.0,99648.0,92374.0,63646.0,0.0,0.0,1207186.0
1992_HI,HI,1992,996809.0,1040121.0,525.0,14440.0,13754.0,11750.0,9051.0,0.0,0.0,177448.0
1992_ID,ID,1992,859329.0,886161.0,1231.0,16018.0,18607.0,18880.0,14593.0,0.0,0.0,231668.0
1992_IL,IL,1992,9748650.0,9850560.0,39682.0,139237.0,133120.0,134317.0,106475.0,0.0,0.0,1873567.0
1992_IN,IN,1992,5060274.0,5182754.0,3225.0,66065.0,73760.0,75477.0,62234.0,0.0,0.0,960630.0
1992_IA,IA,1992,2663934.0,2795774.0,4592.0,36428.0,37692.0,36892.0,33057.0,0.0,0.0,494839.0
1992_KS,KS,1992,2245348.0,2234915.0,2391.0,34826.0,36013.0,33288.0,26706.0,0.0,0.0,451536.0
1992_KY,KY,1992,2642902.0,2518082.0,14564.0,46140.0,49666.0,49993.0,38029.0,0.0,0.0,655041.0
1992_LA,LA,1992,3341253.0,3362853.0,11439.0,61244.0,61125.0,55942.0,38368.0,0.0,0.0,797985.0
1992_ME,ME,1992,1206819.0,1228869.0,1273.0,17367.0,17154.0,15969.0,13882.0,0.0,0.0,216453.0
1992_MD,MD,1992,4658498.0,4698374.0,16081.0,59641.0,60287.0,52815.0,40426.0,0.0,0.0,751850.0
1992_MA,MA,1992,5517659.0,5245560.0,10722.0,75159.0,66822.0,60702.0,52425.0,0.0,0.0,859948.0
1992_MI,MI,1992,9963137.0,10170688.0,10541.0,135457.0,118963.0,114282.0,90655.0,0.0,0.0,1603610.0
1992_MN,MN,1992,4684684.0,4981125.0,6394.0,61966.0,62606.0,59810.0,53813.0,0.0,0.0,793724.0
1992_MS,MS,1992,1684706.0,1691990.0,818.0,36423.0,39839.0,38132.0,26328.0,0.0,0.0,506668.0
1992_MO,MO,1992,4043682.0,4197600.0,18948.0,65108.0,67098.0,64546.0,50534.0,0.0,0.0,859357.0
1992_MT,MT,1992,828983.0,781009.0,554.0,11894.0,12839.0,12124.0,10019.0,0.0,0.0,160011.0
1992_NE,NE,1992,1542413.0,1534046.0,3134.0,21873.0,22133.0,21379.0,18999.0,0.0,0.0,282414.0
1992_NV,NV,1992,1097076.0,1251651.0,1038.0,17839.0,18487.0,16250.0,12242.0,0.0,0.0,222974.0
1992_NH,NH,1992,1063391.0,1066647.0,1005.0,7994.0,15611.0,13537.0,10752.0,0.0,0.0,181247.0
1992_NJ,NJ,1992,10814689.0,10452340.0,9123.0,87427.0,82909.0,77779.0,67353.0,0.0,0.0,1130560.0
1992_NM,NM,1992,1330091.0,1339829.0,2072.0,23723.0,24447.0,21690.0,16027.0,0.0,0.0,315668.0
1992_NY,NY,1992,21630179.0,22815611.0,31290.0,201674.0,197698.0,184815.0,142822.0,0.0,0.0,2689686.0
1992_NC,NC,1992,5236099.0,5418687.0,6119.0,89809.0,85244.0,84291.0,63427.0,0.0,0.0,1114083.0
1992_ND,ND,1992,559481.0,553732.0,640.0,8847.0,9570.0,9102.0,8014.0,0.0,0.0,118734.0
1992_OH,OH,1992,9285961.0,9483822.0,9900.0,138911.0,137839.0,137075.0,116085.0,0.0,0.0,1795199.0
1992_OK,OK,1992,2396705.0,2515272.0,4859.0,45010.0,48793.0,44163.0,33346.0,0.0,0.0,597096.0
1992_OR,OR,1992,2773959.0,2898210.0,771.0,37519.0,41443.0,39610.0,31920.0,0.0,0.0,510122.0
1992_PA,PA,1992,11257252.0,11539253.0,4416.0,129233.0,131248.0,126293.0,108244.0,0.0,0.0,1717613.0
1992_RI,RI,1992,883073.0,863404.0,498.0,10883.0,11129.0,10204.0,8244.0,0.0,0.0,143798.0
1992_SC,SC,1992,2842626.0,2922293.0,7045.0,44501.0,51081.0,49562.0,34615.0,0.0,0.0,640464.0
1992_SD,SD,1992,551668.0,593126.0,705.0,10266.0,10645.0,10498.0,8259.0,0.0,0.0,134573.0
1992_TN,TN,1992,3080490.0,3132516.0,9613.0,64463.0,65195.0,63358.0,49639.0,0.0,0.0,855231.0
1992_TX,TX,1992,16264180.0,16119084.0,113197.0,262483.0,282693.0,261053.0,180206.0,0.0,0.0,3541769.0
1992_UT,UT,1992,1555799.0,1547980.0,2611.0,32652.0,35956.0,36813.0,28775.0,0.0,0.0,463870.0
1992_VT,VT,1992,812377.0,800377.0,1780.0,7978.0,8329.0,7227.0,5573.0,0.0,0.0,98558.0
1992_VA,VA,1992,5631293.0,5744469.0,1976.0,82456.0,79821.0,76775.0,60854.0,0.0,0.0,1031925.0
1992_WA,WA,1992,4870832.0,5360834.0,5075.0,68562.0,74098.0,67285.0,53986.0,0.0,0.0,896475.0
1992_WV,WV,1992,1585099.0,1587968.0,2308.0,22081.0,23556.0,24791.0,21844.0,0.0,0.0,318296.0
1992_WI,WI,1992,4993909.0,5181471.0,16227.0,61568.0,63365.0,60783.0,55543.0,0.0,0.0,829415.0
1992_WY,WY,1992,629748.0,624941.0,0.0,7184.0,8049.0,8078.0,6613.0,0.0,0.0,100313.0
1993_AL,AL,1993,2827391.0,2833433.0,8264.0,56598.0,57497.0,60004.0,39900.0,0.0,0.0,734288.0
1993_AK,AK,1993,1191398.0,1126398.0,2787.0,10329.0,10156.0,9160.0,6975.0,0.0,0.0,125948.0
1993_AZ,AZ,1993,3427976.0,3623946.0,3164.0,57656.0,57701.0,53500.0,37614.0,0.0,0.0,709453.0
1993_AR,AR,1993,1346909.0,1376067.0,1248.0,34337.0,34255.0,36471.0,27169.0,0.0,0.0,444271.0
1993_CA,CA,1993,28043338.0,28110986.0,59954.0,444104.0,420233.0,380223.0,277271.0,0.0,0.0,5327231.0
1993_CO,CO,1993,3058326.0,3028305.0,7249.0,47598.0,50807.0,47665.0,34770.0,0.0,0.0,625062.0
1993_CT,CT,1993,4064158.0,4079943.0,6216.0,42338.0,39093.0,34662.0,27979.0,0.0,0.0,496298.0
1993_DE,DE,1993,683954.0,694534.0,565.0,8153.0,8285.0,8265.0,5882.0,0.0,0.0,105547.0
1993_DC,DC,1993,721151.0,719440.0,5216.0,6986.0,5870.0,4935.0,3303.0,0.0,0.0,80678.0
1993_FL,FL,1993,11370156.0,11425183.0,34793.0,167140.0,168509.0,149054.0,100646.0,0.0,0.0,2040763.0
1993_GA,GA,1993,4716559.0,4647974.0,5534.0,103365.0,99802.0,97354.0,62704.0,0.0,0.0,1235304.0
1993_HI,HI,1993,1062475.0,1063090.0,532.0,15199.0,14813.0,13245.0,10201.0,0.0,0.0,180410.0
1993_ID,ID,1993,890835.0,899819.0,1389.0,17039.0,18665.0,19185.0,15044.0,0.0,0.0,236774.0
1993_IL,IL,1993,10584624.0,10744695.0,42359.0,144758.0,138827.0,138518.0,106519.0,0.0,0.0,1893078.0
1993_IN,IN,1993,5833420.0,5668599.0,3960.0,70226.0,72841.0,78125.0,60971.0,0.0,0.0,965633.0
1993_IA,IA,1993,2880731.0,2889377.0,5430.0,36348.0,36370.0,38548.0,32588.0,0.0,0.0,498519.0
1993_KS,KS,1993,2386945.0,2522542.0,2432.0,34575.0,35975.0,35902.0,27644.0,0.0,0.0,457614.0
1993_KY,KY,1993,2381148.0,2283431.0,15732.0,43340.0,48083.0,51306.0,37629.0,0.0,0.0,655265.0
1993_LA,LA,1993,3438321.0,3427102.0,12857.0,61133.0,60077.0,56522.0,39826.0,0.0,0.0,800560.0
1993_ME,ME,1993,1368095.0,1321846.0,1036.0,17536.0,17237.0,15844.0,13446.0,0.0,0.0,216995.0
1993_MD,MD,1993,4918010.0,4898895.0,17984.0,60378.0,61199.0,55285.0,40661.0,0.0,0.0,772638.0
1993_MA,MA,1993,6121612.0,5679261.0,13178.0,76494.0,69111.0,62412.0,51309.0,0.0,0.0,877726.0
1993_MI,MI,1993,11034174.0,11430958.0,11704.0,132658.0,120049.0,116702.0,87447.0,0.0,0.0,1599377.0
1993_MN,MN,1993,4862635.0,5290504.0,6656.0,62345.0,63194.0,63105.0,54642.0,0.0,0.0,810233.0
1993_MS,MS,1993,1170109.0,1167032.0,2197.0,37622.0,39236.0,39815.0,26156.0,0.0,0.0,505907.0
1993_MO,MO,1993,4196601.0,4234845.0,13950.0,65679.0,66445.0,66371.0,50195.0,0.0,0.0,866378.0
1993_MT,MT,1993,813998.0,833435.0,483.0,12021.0,12967.0,12834.0,10325.0,0.0,0.0,163009.0
1993_NE,NE,1993,1625242.0,1642376.0,3577.0,21374.0,22391.0,22611.0,18578.0,0.0,0.0,285097.0
1993_NV,NV,1993,1148268.0,1265367.0,1237.0,19179.0,19305.0,17825.0,12749.0,0.0,0.0,235800.0
1993_NH,NH,1993,1109743.0,1091814.0,1292.0,8194.0,15630.0,14118.0,10635.0,0.0,0.0,185360.0
1993_NJ,NJ,1993,6747567.0,6641624.0,9225.0,90827.0,84767.0,79459.0,64402.0,0.0,0.0,1151307.0
1993_NM,NM,1993,1217194.0,1223185.0,1933.0,23723.0,24182.0,24899.0,16767.0,0.0,0.0,322292.0
1993_NY,NY,1993,22688753.0,23934282.0,31687.0,205238.0,198259.0,188274.0,143055.0,0.0,0.0,2733813.0
1993_NC,NC,1993,5583166.0,5475174.0,8469.0,93406.0,85989.0,86093.0,60856.0,0.0,0.0,1133231.0
1993_ND,ND,1993,580148.0,588983.0,615.0,8752.0,9266.0,9329.0,8066.0,0.0,0.0,119127.0
1993_OH,OH,1993,10841606.0,10385253.0,17210.0,140778.0,136317.0,141534.0,111932.0,0.0,0.0,1807319.0
1993_OK,OK,1993,1436505.0,1428916.0,5456.0,44864.0,48242.0,46153.0,34744.0,0.0,0.0,604076.0
1993_OR,OR,1993,3141217.0,3149126.0,837.0,37859.0,41290.0,39500.0,32828.0,0.0,0.0,516611.0
1993_PA,PA,1993,12269422.0,12809067.0,4181.0,131842.0,131575.0,130209.0,107244.0,0.0,0.0,1744082.0
1993_RI,RI,1993,919594.0,901540.0,465.0,11348.0,11603.0,10650.0,8094.0,0.0,0.0,145676.0
1993_SC,SC,1993,3031112.0,2994038.0,7244.0,45490.0,50357.0,50591.0,33949.0,0.0,0.0,643696.0
1993_SD,SD,1993,465650.0,481665.0,612.0,10574.0,11086.0,11427.0,8936.0,0.0,0.0,142825.0
1993_TN,TN,1993,3268642.0,3286481.0,9542.0,68462.0,65646.0,64124.0,47668.0,0.0,0.0,866557.0
1993_TX,TX,1993,20267205.0,18574871.0,120446.0,268646.0,284394.0,274208.0,178889.0,0.0,0.0,3608262.0
1993_UT,UT,1993,1638305.0,1665011.0,2690.0,33623.0,35467.0,38031.0,31692.0,0.0,0.0,471365.0
1993_VT,VT,1993,837540.0,809853.0,2024.0,7766.0,8457.0,7496.0,6227.0,0.0,0.0,102755.0
1993_VA,VA,1993,5918536.0,5955333.0,3186.0,81787.0,81615.0,78443.0,60314.0,0.0,0.0,1045471.0
1993_WA,WA,1993,5270961.0,5791436.0,5087.0,68908.0,73824.0,70666.0,55847.0,0.0,0.0,915952.0
1993_WV,WV,1993,1832154.0,1829848.0,3981.0,20077.0,22349.0,25677.0,21507.0,0.0,0.0,314383.0
1993_WI,WI,1993,5357945.0,5640718.0,17270.0,61136.0,63756.0,64669.0,53688.0,0.0,0.0,844001.0
1993_WY,WY,1993,615130.0,614807.0,0.0,7190.0,8046.0,8268.0,6548.0,0.0,0.0,100899.0
1994_AL,AL,1994,2970223.0,3103266.0,9051.0,57723.0,56773.0,59165.0,41730.0,0.0,0.0,736531.0
1994_AK,AK,1994,1052282.0,1116160.0,2593.0,10309.0,10318.0,9503.0,7057.0,0.0,0.0,127057.0
1994_AZ,AZ,1994,3566586.0,3803379.0,3540.0,59545.0,60032.0,55334.0,40119.0,0.0,0.0,737424.0
1994_AR,AR,1994,1393287.0,1445984.0,1652.0,35620.0,34488.0,36437.0,27161.0,0.0,0.0,447565.0
1994_CA,CA,1994,23440845.0,23012688.0,66450.0,448237.0,426919.0,388561.0,285132.0,0.0,0.0,5407475.0
1994_CO,CO,1994,3061865.0,3113755.0,9853.0,48673.0,51877.0,49332.0,35464.0,0.0,0.0,640521.0
1994_CT,CT,1994,4268860.0,4132350.0,7601.0,43511.0,40737.0,35665.0,28640.0,0.0,0.0,506824.0
1994_DE,DE,1994,705798.0,732323.0,618.0,7523.0,8367.0,8563.0,5865.0,0.0,0.0,106813.0
1994_DC,DC,1994,735720.0,769818.0,5508.0,7628.0,5783.0,5031.0,3203.0,0.0,0.0,80450.0
1994_FL,FL,1994,12315950.0,12469073.0,47993.0,172135.0,173297.0,155852.0,100720.0,0.0,0.0,2111188.0
1994_GA,GA,1994,6824191.0,6597359.0,12859.0,108398.0,101054.0,98982.0,64606.0,0.0,0.0,1270948.0
1994_HI,HI,1994,1133949.0,1146267.0,631.0,15678.0,14572.0,13592.0,10473.0,0.0,0.0,183795.0
1994_ID,ID,1994,949999.0,974781.0,1501.0,17260.0,18361.0,19680.0,15780.0,0.0,0.0,240448.0
1994_IL,IL,1994,11309803.0,10743708.0,42938.0,146314.0,143030.0,135134.0,109360.0,0.0,0.0,1916172.0
1994_IN,IN,1994,6121754.0,6061435.0,4660.0,71594.0,72408.0,77799.0,62727.0,0.0,0.0,969022.0
1994_IA,IA,1994,2987394.0,2974072.0,5901.0,37402.0,36960.0,39039.0,34078.0,0.0,0.0,500440.0
1994_KS,KS,1994,2700587.0,2643192.0,2640.0,33445.0,36488.0,36757.0,28811.0,0.0,0.0,460838.0
1994_KY,KY,1994,2491948.0,2392549.0,17934.0,44191.0,48233.0,50562.0,39482.0,0.0,0.0,657642.0
1994_LA,LA,1994,3571864.0,3539581.0,19292.0,60705.0,62461.0,57747.0,40666.0,0.0,0.0,797933.0
1994_ME,ME,1994,1357116.0,1338353.0,1006.0,16569.0,17397.0,16571.0,12534.0,0.0,0.0,212601.0
1994_MD,MD,1994,5141505.0,5187683.0,18834.0,62341.0,61982.0,57222.0,43223.0,0.0,0.0,790938.0
1994_MA,MA,1994,6410757.0,6391131.0,13982.0,77777.0,71131.0,64097.0,51618.0,0.0,0.0,893727.0
1994_MI,MI,1994,11762546.0,12023935.0,4409.0,136353.0,123829.0,117380.0,88136.0,0.0,0.0,1614784.0
1994_MN,MN,1994,5262482.0,5581140.0,8060.0,62908.0,64605.0,64607.0,55982.0,0.0,0.0,821693.0
1994_MS,MS,1994,1911579.0,1919812.0,1146.0,38528.0,38606.0,39970.0,26436.0,0.0,0.0,505962.0
1994_MO,MO,1994,4488359.0,4575564.0,16002.0,66607.0,68457.0,66025.0,52654.0,0.0,0.0,878541.0
1994_MT,MT,1994,878986.0,878084.0,483.0,11820.0,13009.0,13229.0,10681.0,0.0,0.0,164341.0
1994_NE,NE,1994,1710913.0,1769248.0,3985.0,21752.0,22144.0,23037.0,19144.0,0.0,0.0,287100.0
1994_NV,NV,1994,1266549.0,1344245.0,1424.0,20462.0,20573.0,18881.0,13659.0,0.0,0.0,250747.0
1994_NH,NH,1994,1145147.0,1119762.0,1210.0,8325.0,16352.0,14926.0,10919.0,0.0,0.0,189319.0
1994_NJ,NJ,1994,6957898.0,6765105.0,10283.0,92316.0,87374.0,80901.0,65662.0,0.0,0.0,1174206.0
1994_NM,NM,1994,1342868.0,1223759.0,4174.0,24055.0,24294.0,25443.0,16925.0,0.0,0.0,327248.0
1994_NY,NY,1994,23933662.0,25359726.0,32227.0,212239.0,202024.0,191181.0,144139.0,0.0,0.0,2766208.0
1994_NC,NC,1994,5648390.0,5740906.0,8949.0,97508.0,89492.0,86344.0,62324.0,0.0,0.0,1156767.0
