State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1992_AL,AL,1992,2678885,2653798,8224,55460,57948,58025,41167,0,0,731634
1992_AK,AK,1992,1049591,972488,2371,10152,9748,8789,6714,0,0,122487
1992_AZ,AZ,1992,3258079,3401580,2544,53497,55433,49081,37410,0,0,673477
1992_AR,AR,1992,1711959,1743022,808,33511,34632,36011,27651,0,0,441490
1992_CA,CA,1992,26260025,27138832,59067,431763,418418,363296,270675,0,0,5254844
1992_CO,CO,1992,3185173,3264826,7410,47588,50648,45025,34533,0,0,612635
1992_CT,CT,1992,3834302,3721338,5731,41319,38058,33691,28366,0,0,488476
1992_DE,DE,1992,645233,638784,463,8025,8272,8012,6129,0,0,104321
1992_DC,DC,1992,709480,742893,4818,6667,5832,5000,3433,0,0,80937
1992_FL,FL,1992,11506299,11305642,31464,161701,164416,142372,100835,0,0,1981407
1992_GA,GA,1992,5536901,5535942,3303,100745,99648,92374,63646,0,0,1207186
1992_HI,HI,1992,996809,1040121,525,14440,13754,11750,9051,0,0,177448
1992_ID,ID,1992,859329,886161,1231,16018,18607,18880,14593,0,0,231668
1992_IL,IL,1992,9748650,9850560,39682,139237,133120,134317,106475,0,0,1873567
1992_IN,IN,1992,5060274,5182754,3225,66065,73760,75477,62234,0,0,960630
1992_IA,IA,1992,2663934,2795774,4592,36428,37692,36892,33057,0,0,494839
1992_KS,KS,1992,2245348,2234915,2391,34826,36013,33288,26706,0,0,451536
1992_KY,KY,1992,2642902,2518082,14564,46140,49666,49993,38029,0,0,655041
1992_LA,LA,1992,3341253,3362853,11439,61244,61125,55942,38368,0,0,797985
1992_ME,ME,1992,1206819,1228869,1273,17367,17154,15969,13882,0,0,216453
1992_MD,MD,1992,4658498,4698374,16081,59641,60287,52815,40426,0,0,751850
