State_Year,Year,State,Homeless_Count
2007_AK,2007,AK,7124
2007_AL,2007,AL,23794
2007_AR,2007,AR,17048
2007_AZ,2007,AZ,64192
2007_CA,2007,CA,636626
2007_CO,2007,CO,61000
2007_CT,2007,CT,19974
2007_DC,2007,DC,24800
2007_DE,2007,DE,4544
2007_FL,2007,FL,207202
2007_GA,2007,GA,83524
2007_GU,2007,GU,2900
2007_HI,2007,HI,25836
2007_IA,2007,IA,11550
2007_ID,2007,ID,7186
2007_IL,2007,IL,67310
2007_IN,2007,IN,30820
2007_KS,2007,KS,7968
2007_KY,2007,KY,33392
2007_LA,2007,LA,23100
2007_MA,2007,MA,66088
2007_MD,2007,MD,41612
2007_ME,2007,ME,10746
2007_MI,2007,MI,118612
2007_MN,2007,MN,32120
2007_MO,2007,MO,28224
2007_MS,2007,MS,6694
2007_MT,2007,MT,4766
2007_NC,2007,NC,50498
2007_ND,2007,ND,2704
2007_NE,2007,NE,15694
2007_NH,2007,NH,9726
2007_NJ,2007,NJ,74306
2007_NM,2007,NM,13482
2007_NV,2007,NV,36310
2007_NY,2007,NY,263356
2007_OH,2007,OH,49672
2007_OK,2007,OK,18442
2007_OR,2007,OR,76018
2007_PA,2007,PA,68058
2007_PR,2007,PR,23044
2007_RI,2007,RI,5756
2007_SC,2007,SC,23786
2007_SD,2007,SD,2524
2007_TN,2007,TN,50374
2007_TX,2007,TX,175014
2007_UT,2007,UT,13646
2007_VA,2007,VA,42910
2007_VI,2007,VI,3210
2007_VT,2007,VT,4522
2007_WA,2007,WA,98722
2007_WI,2007,WI,23970
2007_WV,2007,WV,11938
2007_WY,2007,WY,2224
2008_AK,2008,AK,7462
2008_AL,2008,AL,23652
2008_AR,2008,AR,14806
2008_AZ,2008,AZ,56146
2008_CA,2008,CA,626632
2008_CO,2008,CO,61152
2008_CT,2008,CT,20258
2008_DC,2008,DC,28544
2008_DE,2008,DE,4228
2008_FL,2008,FL,217788
2008_GA,2008,GA,81722
2008_GU,2008,GU,3000
2008_HI,2008,HI,25800
2008_IA,2008,IA,13938
2008_ID,2008,ID,5948
2008_IL,2008,IL,64010
2008_IN,2008,IN,30972
2008_KS,2008,KS,6596
2008_KY,2008,KY,33832
2008_LA,2008,LA,23150
2008_MA,2008,MA,62728
2008_MD,2008,MD,39854
2008_ME,2008,ME,10792
2008_MI,2008,MI,118534
2008_MN,2008,MN,33650
2008_MO,2008,MO,33910
2008_MS,2008,MS,9598
2008_MT,2008,MT,5944
2008_NC,2008,NC,53298
2008_ND,2008,ND,2562
2008_NE,2008,NE,17354
2008_NH,2008,NH,8950
2008_NJ,2008,NJ,57866
2008_NM,2008,NM,13482
2008_NV,2008,NV,36812
2008_NY,2008,NY,254678
2008_OH,2008,OH,56152
2008_OK,2008,OK,16506
2008_OR,2008,OR,89304
2008_PA,2008,PA,64756
2008_PR,2008,PR,17882
2008_RI,2008,RI,5274
2008_SC,2008,SC,24126
2008_SD,2008,SD,2524
2008_TN,2008,TN,45548
2008_TX,2008,TX,178448
2008_UT,2008,UT,15140
2008_VA,2008,VA,37232
2008_VI,2008,VI,3434
2008_VT,2008,VT,4284
2008_WA,2008,WA,93962
2008_WI,2008,WI,23170
2008_WV,2008,WV,8838
2008_WY,2008,WY,3138
2009_AK,2009,AK,8614
2009_AL,2009,AL,26698
2009_AR,2009,AR,12220
2009_AZ,2009,AZ,63342
2009_CA,2009,CA,557536
2009_CO,2009,CO,63644
2009_CT,2009,CT,20068
2009_DC,2009,DC,28758
2009_DE,2009,DE,4854
2009_FL,2009,FL,240520
2009_GA,2009,GA,88982
2009_GU,2009,GU,4526
2009_HI,2009,HI,24672
2009_IA,2009,IA,14132
2009_ID,2009,ID,8176
2009_IL,2009,IL,60644
2009_IN,2009,IN,29466
2009_KS,2009,KS,7070
2009_KY,2009,KY,25338
2009_LA,2009,LA,59646
2009_MA,2009,MA,65802
2009_MD,2009,MD,50916
2009_ME,2009,ME,10148
2009_MI,2009,MI,59318
2009_MN,2009,MN,33770
2009_MO,2009,MO,30594
2009_MS,2009,MS,12232
2009_MT,2009,MT,5104
2009_NC,2009,NC,54652
2009_ND,2009,ND,3232
2009_NE,2009,NE,15862
2009_NH,2009,NH,7240
2009_NJ,2009,NJ,54544
2009_NM,2009,NM,15458
2009_NV,2009,NV,46950
2009_NY,2009,NY,252828
2009_OH,2009,OH,55406
2009_OK,2009,OK,20660
2009_OR,2009,OR,74920
2009_PA,2009,PA,63980
2009_PR,2009,PR,20670
2009_RI,2009,RI,6868
2009_SC,2009,SC,19240
2009_SD,2009,SD,3142
2009_TN,2009,TN,47392
2009_TX,2009,TX,159084
2009_UT,2009,UT,16580
2009_VA,2009,VA,38650
2009_VI,2009,VI,2622
2009_VT,2009,VT,5124
2009_WA,2009,WA,96346
2009_WI,2009,WI,27532
2009_WV,2009,WV,7342
2009_WY,2009,WY,2218
2010_AK,2010,AK,7780
2010_AL,2010,AL,26270
2010_AR,2010,AR,11838
2010_AZ,2010,AZ,58714
2010_CA,2010,CA,556390
2010_CO,2010,CO,64792
2010_CT,2010,CT,18818
2010_DC,2010,DC,30376
2010_DE,2010,DE,4122
2010_FL,2010,FL,248668
2010_GA,2010,GA,86614
2010_GU,2010,GU,6596
2010_HI,2010,HI,24938
2010_IA,2010,IA,12554
