State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1992_AL,AL,1992,2678885.0,2653798.0,0.0,731634.0
1992_AK,AK,1992,1049591.0,972488.0,0.0,122487.0
1992_AZ,AZ,1992,3258079.0,3401580.0,0.0,673477.0
1992_AR,AR,1992,1711959.0,1743022.0,0.0,441490.0
1992_CA,CA,1992,26260025.0,27138832.0,0.0,5254844.0
1992_CO,CO,1992,3185173.0,3264826.0,0.0,612635.0
1992_CT,CT,1992,3834302.0,3721338.0,0.0,488476.0
1992_DE,DE,1992,645233.0,638784.0,0.0,104321.0
1992_DC,DC,1992,709480.0,742893.0,0.0,80937.0
1992_FL,FL,1992,11506299.0,11305642.0,0.0,1981407.0
1992_GA,GA,1992,5536901.0,5535942.0,0.0,1207186.0
1992_HI,HI,1992,996809.0,1040121.0,0.0,177448.0
1992_ID,ID,1992,859329.0,886161.0,0.0,231668.0
1992_IL,IL,1992,9748650.0,9850560.0,0.0,1873567.0
1992_IN,IN,1992,5060274.0,5182754.0,0.0,960630.0
1992_IA,IA,1992,2663934.0,2795774.0,0.0,494839.0
1992_KS,KS,1992,2245348.0,2234915.0,0.0,451536.0
1992_KY,KY,1992,2642902.0,2518082.0,0.0,655041.0
1992_LA,LA,1992,3341253.0,3362853.0,0.0,797985.0
1992_ME,ME,1992,1206819.0,1228869.0,0.0,216453.0
1992_MD,MD,1992,4658498.0,4698374.0,0.0,751850.0
1992_MA,MA,1992,5517659.0,5245560.0,0.0,859948.0
1992_MI,MI,1992,9963137.0,10170688.0,0.0,1603610.0
1992_MN,MN,1992,4684684.0,4981125.0,0.0,793724.0
1992_MS,MS,1992,1684706.0,1691990.0,0.0,506668.0
1992_MO,MO,1992,4043682.0,4197600.0,0.0,859357.0
1992_MT,MT,1992,828983.0,781009.0,0.0,160011.0
1992_NE,NE,1992,1542413.0,1534046.0,0.0,282414.0
1992_NV,NV,1992,1097076.0,1251651.0,0.0,222974.0
1992_NH,NH,1992,1063391.0,1066647.0,0.0,181247.0
1992_NJ,NJ,1992,10814689.0,10452340.0,0.0,1130560.0
1992_NM,NM,1992,1330091.0,1339829.0,0.0,315668.0
1992_NY,NY,1992,21630179.0,22815611.0,0.0,2689686.0
1992_NC,NC,1992,5236099.0,5418687.0,0.0,1114083.0
1992_ND,ND,1992,559481.0,553732.0,0.0,118734.0
1992_OH,OH,1992,9285961.0,9483822.0,0.0,1795199.0
1992_OK,OK,1992,2396705.0,2515272.0,0.0,597096.0
1992_OR,OR,1992,2773959.0,2898210.0,0.0,510122.0
1992_PA,PA,1992,11257252.0,11539253.0,0.0,1717613.0
1992_RI,RI,1992,883073.0,863404.0,0.0,143798.0
1992_SC,SC,1992,2842626.0,2922293.0,0.0,640464.0
1992_SD,SD,1992,551668.0,593126.0,0.0,134573.0
1992_TN,TN,1992,3080490.0,3132516.0,0.0,855231.0
1992_TX,TX,1992,16264180.0,16119084.0,0.0,3541769.0
1992_UT,UT,1992,1555799.0,1547980.0,0.0,463870.0
1992_VT,VT,1992,812377.0,800377.0,0.0,98558.0
1992_VA,VA,1992,5631293.0,5744469.0,0.0,1031925.0
1992_WA,WA,1992,4870832.0,5360834.0,0.0,896475.0
1992_WV,WV,1992,1585099.0,1587968.0,0.0,318296.0
1992_WI,WI,1992,4993909.0,5181471.0,0.0,829415.0
1992_WY,WY,1992,629748.0,624941.0,0.0,100313.0
1993_AL,AL,1993,2827391.0,2833433.0,0.0,734288.0
1993_AK,AK,1993,1191398.0,1126398.0,0.0,125948.0
1993_AZ,AZ,1993,3427976.0,3623946.0,0.0,709453.0
1993_AR,AR,1993,1346909.0,1376067.0,0.0,444271.0
1993_CA,CA,1993,28043338.0,28110986.0,0.0,5327231.0
1993_CO,CO,1993,3058326.0,3028305.0,0.0,625062.0
1993_CT,CT,1993,4064158.0,4079943.0,0.0,496298.0
1993_DE,DE,1993,683954.0,694534.0,0.0,105547.0
1993_DC,DC,1993,721151.0,719440.0,0.0,80678.0
1993_FL,FL,1993,11370156.0,11425183.0,0.0,2040763.0
1993_GA,GA,1993,4716559.0,4647974.0,0.0,1235304.0
1993_HI,HI,1993,1062475.0,1063090.0,0.0,180410.0
1993_ID,ID,1993,890835.0,899819.0,0.0,236774.0
1993_IL,IL,1993,10584624.0,10744695.0,0.0,1893078.0
1993_IN,IN,1993,5833420.0,5668599.0,0.0,965633.0
1993_IA,IA,1993,2880731.0,2889377.0,0.0,498519.0
1993_KS,KS,1993,2386945.0,2522542.0,0.0,457614.0
1993_KY,KY,1993,2381148.0,2283431.0,0.0,655265.0
1993_LA,LA,1993,3438321.0,3427102.0,0.0,800560.0
1993_ME,ME,1993,1368095.0,1321846.0,0.0,216995.0
1993_MD,MD,1993,4918010.0,4898895.0,0.0,772638.0
1993_MA,MA,1993,6121612.0,5679261.0,0.0,877726.0
1993_MI,MI,1993,11034174.0,11430958.0,0.0,1599377.0
1993_MN,MN,1993,4862635.0,5290504.0,0.0,810233.0
1993_MS,MS,1993,1170109.0,1167032.0,0.0,505907.0
1993_MO,MO,1993,4196601.0,4234845.0,0.0,866378.0
1993_MT,MT,1993,813998.0,833435.0,0.0,163009.0
1993_NE,NE,1993,1625242.0,1642376.0,0.0,285097.0
1993_NV,NV,1993,1148268.0,1265367.0,0.0,235800.0
1993_NH,NH,1993,1109743.0,1091814.0,0.0,185360.0
1993_NJ,NJ,1993,6747567.0,6641624.0,0.0,1151307.0
1993_NM,NM,1993,1217194.0,1223185.0,0.0,322292.0
1993_NY,NY,1993,22688753.0,23934282.0,0.0,2733813.0
1993_NC,NC,1993,5583166.0,5475174.0,0.0,1133231.0
1993_ND,ND,1993,580148.0,588983.0,0.0,119127.0
1993_OH,OH,1993,10841606.0,10385253.0,0.0,1807319.0
1993_OK,OK,1993,1436505.0,1428916.0,0.0,604076.0
1993_OR,OR,1993,3141217.0,3149126.0,0.0,516611.0
1993_PA,PA,1993,12269422.0,12809067.0,0.0,1744082.0
1993_RI,RI,1993,919594.0,901540.0,0.0,145676.0
1993_SC,SC,1993,3031112.0,2994038.0,0.0,643696.0
1993_SD,SD,1993,465650.0,481665.0,0.0,142825.0
1993_TN,TN,1993,3268642.0,3286481.0,0.0,866557.0
1993_TX,TX,1993,20267205.0,18574871.0,0.0,3608262.0
1993_UT,UT,1993,1638305.0,1665011.0,0.0,471365.0
1993_VT,VT,1993,837540.0,809853.0,0.0,102755.0
1993_VA,VA,1993,5918536.0,5955333.0,0.0,1045471.0
1993_WA,WA,1993,5270961.0,5791436.0,0.0,915952.0
1993_WV,WV,1993,1832154.0,1829848.0,0.0,314383.0
1993_WI,WI,1993,5357945.0,5640718.0,0.0,844001.0
1993_WY,WY,1993,615130.0,614807.0,0.0,100899.0
1994_AL,AL,1994,2970223.0,3103266.0,0.0,736531.0
1994_AK,AK,1994,1052282.0,1116160.0,0.0,127057.0
1994_AZ,AZ,1994,3566586.0,3803379.0,0.0,737424.0
1994_AR,AR,1994,1393287.0,1445984.0,0.0,447565.0
1994_CA,CA,1994,23440845.0,23012688.0,0.0,5407475.0
1994_CO,CO,1994,3061865.0,3113755.0,0.0,640521.0
1994_CT,CT,1994,4268860.0,4132350.0,0.0,506824.0
1994_DE,DE,1994,705798.0,732323.0,0.0,106813.0
1994_DC,DC,1994,735720.0,769818.0,0.0,80450.0
