State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1992_AL,AL,1992,2678885,2653798,0,731634
1992_AK,AK,1992,1049591,972488,0,122487
1992_AZ,AZ,1992,3258079,3401580,0,673477
1992_AR,AR,1992,1711959,1743022,0,441490
1992_CA,CA,1992,26260025,27138832,0,5254844
1992_CO,CO,1992,3185173,3264826,0,612635
1992_CT,CT,1992,3834302,3721338,0,488476
1992_DE,DE,1992,645233,638784,0,104321
1992_DC,DC,1992,709480,742893,0,80937
1992_FL,FL,1992,11506299,11305642,0,1981407
1992_GA,GA,1992,5536901,5535942,0,1207186
1992_HI,HI,1992,996809,1040121,0,177448
1992_ID,ID,1992,859329,886161,0,231668
1992_IL,IL,1992,9748650,9850560,0,1873567
1992_IN,IN,1992,5060274,5182754,0,960630
1992_IA,IA,1992,2663934,2795774,0,494839
1992_KS,KS,1992,2245348,2234915,0,451536
1992_KY,KY,1992,2642902,2518082,0,655041
1992_LA,LA,1992,3341253,3362853,0,797985
1992_ME,ME,1992,1206819,1228869,0,216453
1992_MD,MD,1992,4658498,4698374,0,751850
1992_MA,MA,1992,5517659,5245560,0,859948
1992_MI,MI,1992,9963137,10170688,0,1603610
1992_MN,MN,1992,4684684,4981125,0,793724
1992_MS,MS,1992,1684706,1691990,0,506668
1992_MO,MO,1992,4043682,4197600,0,859357
1992_MT,MT,1992,828983,781009,0,160011
1992_NE,NE,1992,1542413,1534046,0,282414
1992_NV,NV,1992,1097076,1251651,0,222974
1992_NH,NH,1992,1063391,1066647,0,181247
1992_NJ,NJ,1992,10814689,10452340,0,1130560
1992_NM,NM,1992,1330091,1339829,0,315668
1992_NY,NY,1992,21630179,22815611,0,2689686
1992_NC,NC,1992,5236099,5418687,0,1114083
1992_ND,ND,1992,559481,553732,0,118734
1992_OH,OH,1992,9285961,9483822,0,1795199
1992_OK,OK,1992,2396705,2515272,0,597096
1992_OR,OR,1992,2773959,2898210,0,510122
1992_PA,PA,1992,11257252,11539253,0,1717613
1992_RI,RI,1992,883073,863404,0,143798
1992_SC,SC,1992,2842626,2922293,0,640464
1992_SD,SD,1992,551668,593126,0,134573
1992_TN,TN,1992,3080490,3132516,0,855231
1992_TX,TX,1992,16264180,16119084,0,3541769
1992_UT,UT,1992,1555799,1547980,0,463870
1992_VT,VT,1992,812377,800377,0,98558
1992_VA,VA,1992,5631293,5744469,0,1031925
1992_WA,WA,1992,4870832,5360834,0,896475
1992_WV,WV,1992,1585099,1587968,0,318296
1992_WI,WI,1992,4993909,5181471,0,829415
1992_WY,WY,1992,629748,624941,0,100313
1993_AL,AL,1993,2827391,2833433,0,734288
1993_AK,AK,1993,1191398,1126398,0,125948
1993_AZ,AZ,1993,3427976,3623946,0,709453
1993_AR,AR,1993,1346909,1376067,0,444271
1993_CA,CA,1993,28043338,28110986,0,5327231
1993_CO,CO,1993,3058326,3028305,0,625062
