State_Year,Year,State,Sheltered_Cnt,Unsheltered_Cnt,Other_Cnt
2007_AK,2007,AK,2995,567,3562
2007_AL,2007,AL,8075,3822,11897
2007_AR,2007,AR,4979,3545,8524
2007_AZ,2007,AZ,17886,14210,32096
2007_CA,2007,CA,102972,215341,318313
2007_CO,2007,CO,14346,16154,30500
2007_CT,2007,CT,7938,2049,9987
2007_DC,2007,DC,11399,1001,12400
2007_DE,2007,DE,1784,488,2272
2007_FL,2007,FL,42900,60701,103601
2007_GA,2007,GA,17790,23972,41762
2007_GU,2007,GU,206,1244,1450
2007_HI,2007,HI,5556,7362,12918
2007_IA,2007,IA,5107,668,5775
2007_ID,2007,ID,2287,1306,3593
2007_IL,2007,IL,25776,7879,33655
2007_IN,2007,IN,12642,2768,15410
2007_KS,2007,KS,3505,479,3984
2007_KY,2007,KY,12231,4465,16696
2007_LA,2007,LA,8060,3490,11550
2007_MA,2007,MA,29482,3562,33044
2007_MD,2007,MD,13585,7221,20806
2007_ME,2007,ME,5219,154,5373
2007_MI,2007,MI,24031,35275,59306
2007_MN,2007,MN,12723,3337,16060
2007_MO,2007,MO,11461,2651,14112
2007_MS,2007,MS,1871,1476,3347
2007_MT,2007,MT,1745,638,2383
2007_NC,2007,NC,16604,8645,25249
2007_ND,2007,ND,1225,127,1352
2007_NE,2007,NE,6500,1347,7847
2007_NH,2007,NH,2809,2054,4863
2007_NJ,2007,NJ,31254,5899,37153
2007_NM,2007,NM,3741,3000,6741
2007_NV,2007,NV,9827,8328,18155
2007_NY,2007,NY,116975,14703,131678
2007_OH,2007,OH,20361,4475,24836
2007_OK,2007,OK,6573,2648,9221
2007_OR,2007,OR,17745,20264,38009
2007_PA,2007,PA,30396,3633,34029
2007_PR,2007,PR,3321,8201,11522
2007_RI,2007,RI,2736,142,2878
2007_SC,2007,SC,6539,5354,11893
2007_SD,2007,SD,1155,107,1262
2007_TN,2007,TN,13788,11399,25187
2007_TX,2007,TX,49054,38453,87507
2007_UT,2007,UT,5884,939,6823
2007_VA,2007,VA,16057,5398,21455
2007_VI,2007,VI,144,1461,1605
2007_VT,2007,VT,1500,761,2261
2007_WA,2007,WA,35047,14314,49361
2007_WI,2007,WI,10638,1347,11985
2007_WV,2007,WV,5352,617,5969
2007_WY,2007,WY,794,318,1112
2008_AK,2008,AK,3259,472,3731
2008_AL,2008,AL,8265,3561,11826
2008_AR,2008,AR,4532,2871,7403
2008_AZ,2008,AZ,15163,12910,28073
2008_CA,2008,CA,100136,213180,313316
2008_CO,2008,CO,14203,16373,30576
2008_CT,2008,CT,8618,1511,10129
2008_DC,2008,DC,13172,1100,14272
2008_DE,2008,DE,1945,169,2114
2008_FL,2008,FL,44003,64891,108894
2008_GA,2008,GA,18767,22094,40861
2008_GU,2008,GU,245,1255,1500
2008_HI,2008,HI,5538,7362,12900
2008_IA,2008,IA,6399,570,6969
2008_ID,2008,ID,2511,463,2974
2008_IL,2008,IL,24396,7609,32005
2008_IN,2008,IN,12095,3391,15486
2008_KS,2008,KS,2904,394,3298
2008_KY,2008,KY,12770,4146,16916
2008_LA,2008,LA,7577,3998,11575
2008_MA,2008,MA,28704,2660,31364
2008_MD,2008,MD,12837,7090,19927
2008_ME,2008,ME,5299,97,5396
2008_MI,2008,MI,24646,34621,59267
2008_MN,2008,MN,13592,3233,16825
2008_MO,2008,MO,12345,4610,16955
2008_MS,2008,MS,2829,1970,4799
2008_MT,2008,MT,2060,912,2972
2008_NC,2008,NC,17014,9635,26649
2008_ND,2008,ND,1242,39,1281
2008_NE,2008,NE,7081,1596,8677
2008_NH,2008,NH,3367,1108,4475
2008_NJ,2008,NJ,24688,4245,28933
2008_NM,2008,NM,3741,3000,6741
2008_NV,2008,NV,9950,8456,18406
2008_NY,2008,NY,115103,12236,127339
2008_OH,2008,OH,22427,5649,28076
2008_OK,2008,OK,5937,2316,8253
2008_OR,2008,OR,21394,23258,44652
2008_PA,2008,PA,29017,3361,32378
2008_PR,2008,PR,2646,6295,8941
2008_RI,2008,RI,2492,145,2637
2008_SC,2008,SC,6570,5493,12063
2008_SD,2008,SD,1155,107,1262
2008_TN,2008,TN,12758,10016,22774
2008_TX,2008,TX,51816,37408,89224
2008_UT,2008,UT,6802,768,7570
2008_VA,2008,VA,14757,3859,18616
2008_VI,2008,VI,256,1461,1717
2008_VT,2008,VT,1507,635,2142
2008_WA,2008,WA,32886,14095,46981
2008_WI,2008,WI,10348,1237,11585
2008_WV,2008,WV,3108,1311,4419
2008_WY,2008,WY,1268,301,1569
2009_AK,2009,AK,3575,732,4307
2009_AL,2009,AL,8478,4871,13349
2009_AR,2009,AR,3606,2504,6110
2009_AZ,2009,AZ,17270,14401,31671
2009_CA,2009,CA,108555,170213,278768
2009_CO,2009,CO,18572,13250,31822
2009_CT,2009,CT,8846,1188,10034
2009_DC,2009,DC,13446,933,14379
2009_DE,2009,DE,2316,111,2427
2009_FL,2009,FL,47227,73033,120260
2009_GA,2009,GA,20458,24033,44491
2009_GU,2009,GU,383,1880,2263
2009_HI,2009,HI,6660,5676,12336
2009_IA,2009,IA,6680,386,7066
2009_ID,2009,ID,3111,977,4088
2009_IL,2009,IL,25266,5056,30322
2009_IN,2009,IN,10917,3816,14733
2009_KS,2009,KS,3199,336,3535
2009_KY,2009,KY,11089,1580,12669
2009_LA,2009,LA,8462,21361,29823
2009_MA,2009,MA,30442,2459,32901
2009_MD,2009,MD,16135,9323,25458
2009_ME,2009,ME,4990,84,5074
2009_MI,2009,MI,23767,5892,29659
2009_MN,2009,MN,14673,2212,16885
2009_MO,2009,MO,12018,3279,15297
2009_MS,2009,MS,2594,3522,6116
2009_MT,2009,MT,1773,779,2552
2009_NC,2009,NC,18053,9273,27326
2009_ND,2009,ND,1596,20,1616
2009_NE,2009,NE,6571,1360,7931
2009_NH,2009,NH,3097,523,3620
2009_NJ,2009,NJ,24446,2826,27272
2009_NM,2009,NM,4557,3172,7729
2009_NV,2009,NV,15780,7695,23475
2009_NY,2009,NY,117180,9234,126414
2009_OH,2009,OH,23696,4007,27703
2009_OK,2009,OK,7152,3178,10330
2009_OR,2009,OR,15803,21657,37460
2009_PA,2009,PA,28665,3325,31990
2009_PR,2009,PR,3311,7024,10335
2009_RI,2009,RI,3302,132,3434
2009_SC,2009,SC,6464,3156,9620
2009_SD,2009,SD,1379,192,1571
2009_TN,2009,TN,15764,7932,23696
2009_TX,2009,TX,46057,33485,79542
2009_UT,2009,UT,7525,765,8290
2009_VA,2009,VA,15602,3723,19325
2009_VI,2009,VI,156,1155,1311
2009_VT,2009,VT,2193,369,2562
2009_WA,2009,WA,34082,14091,48173
2009_WI,2009,WI,11542,2224,13766
2009_WV,2009,WV,2795,876,3671
2009_WY,2009,WY,932,177,1109
2010_AK,2010,AK,3461,429,3890
2010_AL,2010,AL,8284,4851,13135
2010_AR,2010,AR,3601,2318,5919
2010_AZ,2010,AZ,14972,14385,29357
2010_CA,2010,CA,108762,169433,278195
2010_CO,2010,CO,18572,13824,32396
2010_CT,2010,CT,8229,1180,9409
2010_DC,2010,DC,13941,1247,15188
2010_DE,2010,DE,1931,130,2061
2010_FL,2010,FL,47334,77000,124334
2010_GA,2010,GA,18987,24320,43307
2010_GU,2010,GU,365,2933,3298
2010_HI,2010,HI,7166,5303,12469
2010_IA,2010,IA,5988,289,6277
2010_ID,2010,ID,3165,1638,4803
2010_IL,2010,IL,25851,5069,30920
2010_IN,2010,IN,10944,2735,13679
2010_KS,2010,KS,3445,336,3781
2010_KY,2010,KY,11602,2339,13941
2010_LA,2010,LA,8418,21361,29779
2010_MA,2010,MA,32692,2607,35299
2010_MD,2010,MD,14261,9608,23869
2010_ME,2010,ME,4923,61,4984
2010_MI,2010,MI,21747,6193,27940
2010_MN,2010,MN,14609,2619,17228
2010_MO,2010,MO,14009,3980,17989
2010_MS,2010,MS,2492,3351,5843
2010_MT,2010,MT,2432,943,3375
2010_NC,2010,NC,19423,6438,25861
2010_ND,2010,ND,1597,65,1662
2010_NE,2010,NE,7126,1163,8289
2010_NH,2010,NH,2954,520,3474
2010_NJ,2010,NJ,24783,3568,28351
2010_NM,2010,NM,4557,3172,7729
2010_NV,2010,NV,15949,7876,23825
2010_NY,2010,NY,124839,10632,135471
2010_OH,2010,OH,23134,4244,27378
2010_OK,2010,OK,7025,4053,11078
2010_OR,2010,OR,15145,26440,41585
2010_PA,2010,PA,27704,2852,30556
2010_PR,2010,PR,3492,7024,10516
2010_RI,2010,RI,2472,178,2650
2010_SC,2010,SC,6464,3156,9620
2010_SD,2010,SD,1379,192,1571
2010_TN,2010,TN,15494,7553,23047
2010_TX,2010,TX,40959,35795,76754
2010_UT,2010,UT,5569,1405,6974
2010_VA,2010,VA,15861,3809,19670
2010_VI,2010,VI,204,1155,1359
2010_VT,2010,VT,2241,332,2573
2010_WA,2010,WA,34259,13603,47862
2010_WI,2010,WI,11114,2279,13393
2010_WV,2010,WV,3406,1638,5044
2010_WY,2010,WY,1082,177,1259
2011_AK,2011,AK,4144,906,5050
2011_AL,2011,AL,8721,5282,14003
2011_AR,2011,AR,4528,3945,8473
2011_AZ,2011,AZ,17678,9424,27102
2011_CA,2011,CA,122149,214068,336217
2011_CO,2011,CO,14771,20525,35296
2011_CT,2011,CT,9456,2097,11553
2011_DC,2011,DC,17440,1185,18625
2011_DE,2011,DE,2197,68,2265
2011_FL,2011,FL,51078,91216,142294
2011_GA,2011,GA,22695,30660,53355
2011_GU,2011,GU,415,3848,4263
2011_HI,2011,HI,7706,7045,14751
2011_IA,2011,IA,6849,388,7237
2011_ID,2011,ID,3637,1627,5264
2011_IL,2011,IL,25909,8316,34225
2011_IN,2011,IN,12588,1722,14310
2011_KS,2011,KS,4882,697,5579
2011_KY,2011,KY,12099,2173,14272
2011_LA,2011,LA,7583,20815,28398
2011_MA,2011,MA,36554,2164,38718
2011_MD,2011,MD,15365,9347,24712
2011_ME,2011,ME,5361,84,5445
2011_MI,2011,MI,24999,5858,30857
2011_MN,2011,MN,16541,2622,19163
2011_MO,2011,MO,16329,5840,22169
2011_MS,2011,MS,2496,3263,5759
2011_MT,2011,MT,2865,1570,4435
2011_NC,2011,NC,21263,8729,29992
2011_ND,2011,ND,1379,101,1480
2011_NE,2011,NE,7153,1257,8410
2011_NH,2011,NH,2732,784,3516
2011_NJ,2011,NJ,27904,3091,30995
2011_NM,2011,NM,7043,2757,9800
2011_NV,2011,NV,10174,12072,22246
2011_NY,2011,NY,128942,12129,141071
2011_OH,2011,OH,26295,5072,31367
2011_OK,2011,OK,7113,4079,11192
2011_OR,2011,OR,16511,26949,43460
2011_PA,2011,PA,31612,3410,35022
2011_PR,2011,PR,3246,9819,13065
2011_RI,2011,RI,2541,74,2615
2011_SC,2011,SC,6759,5329,12088
2011_SD,2011,SD,1665,164,1829
2011_TN,2011,TN,14370,8335,22705
2011_TX,2011,TX,46815,48344,95159
2011_UT,2011,UT,6252,1119,7371
2011_VA,2011,VA,17598,4251,21849
2011_VI,2011,VI,316,1170,1486
2011_VT,2011,VT,2291,306,2597
2011_WA,2011,WA,33943,13189,47132
2011_WI,2011,WI,12144,1027,13171
2011_WV,2011,WV,3424,1898,5322
2011_WY,2011,WY,483,1884,2367
2012_AK,2012,AK,4185,455,4640
2012_AL,2012,AL,8411,4471,12882
2012_AR,2012,AR,3751,5913,9664
2012_AZ,2012,AZ,18667,9205,27872
2012_CA,2012,CA,107208,214311,321519
2012_CO,2012,CO,16888,22046,38934
2012_CT,2012,CT,8541,2097,10638
2012_DC,2012,DC,16562,2507,19069
2012_DE,2012,DE,2214,68,2282
2012_FL,2012,FL,46677,89102,135779
2012_GA,2012,GA,20586,30429,51015
2012_GU,2012,GU,380,2705,3085
2012_HI,2012,HI,7974,6923,14897
2012_IA,2012,IA,6201,486,6687
2012_ID,2012,ID,3370,1330,4700
2012_IL,2012,IL,25399,8448,33847
2012_IN,2012,IN,12025,2270,14295
2012_KS,2012,KS,5228,665,5893
2012_KY,2012,KY,9853,2305,12158
2012_LA,2012,LA,8768,13461,22229
2012_MA,2012,MA,38130,2163,40293
2012_MD,2012,MD,13515,8824,22339
2012_ME,2012,ME,5298,70,5368
2012_MI,2012,MI,23061,5880,28941
2012_MN,2012,MN,16443,2790,19233
2012_MO,2012,MO,18907,6320,25227
2012_MS,2012,MS,2289,3783,6072
2012_MT,2012,MT,2879,1886,4765
2012_NC,2012,NC,20113,11590,31703
2012_ND,2012,ND,1570,138,1708
2012_NE,2012,NE,6793,2036,8829
2012_NH,2012,NH,3134,533,3667
2012_NJ,2012,NJ,24757,3937,28694
2012_NM,2012,NM,6222,2757,8979
2012_NV,2012,NV,9829,11844,21673
2012_NY,2012,NY,140256,13631,153887
2012_OH,2012,OH,28260,4902,33162
2012_OK,2012,OK,6959,4647,11606
2012_OR,2012,OR,15156,24460,39616
2012_PA,2012,PA,30883,4257,35140
2012_PR,2012,PR,3223,9819,13042
2012_RI,2012,RI,2902,56,2958
2012_SC,2012,SC,6100,5329,11429
2012_SD,2012,SD,1954,164,2118
2012_TN,2012,TN,14781,9888,24669
2012_TX,2012,TX,41246,44522,85768
2012_UT,2012,UT,6999,1271,8270
2012_VA,2012,VA,16801,4220,21021
2012_VI,2012,VI,217,1170,1387
2012_VT,2012,VT,2273,612,2885
2012_WA,2012,WA,33605,13304,46909
2012_WI,2012,WI,12139,1428,13567
2012_WV,2012,WV,3715,2193,5908
2012_WY,2012,WY,1276,3565,4841
2013_AK,2013,AK,3946,524,4470
2013_AL,2013,AL,7445,4160,11605
2013_AR,2013,AR,3996,5294,9290
2013_AZ,2013,AZ,16803,7919,24722
2013_CA,2013,CA,106496,209727,316223
2013_CO,2013,CO,17326,6427,23753
2013_CT,2013,CT,8681,2648,11329
2013_DC,2013,DC,16273,2010,18283
2013_DE,2013,DE,2094,29,2123
2013_FL,2013,FL,45414,75109,120523
2013_GA,2013,GA,19792,22119,41911
2013_GU,2013,GU,260,2894,3154
2013_HI,2013,HI,8270,7318,15588
2013_IA,2013,IA,6636,415,7051
2013_ID,2013,ID,3300,1012,4312
2013_IL,2013,IL,25300,5965,31265
2013_IN,2013,IN,12276,1819,14095
2013_KS,2013,KS,5080,548,5628
2013_KY,2013,KY,10028,2151,12179
2013_LA,2013,LA,8175,5082,13257
2013_MA,2013,MA,40992,2549,43541
2013_MD,2013,MD,14853,5190,20043
2013_ME,2013,ME,6410,138,6548
2013_MI,2013,MI,20955,5411,26366
2013_MN,2013,MN,16886,2591,19477
2013_MO,2013,MO,15437,5526,20963
2013_MS,2013,MS,2431,3535,5966
2013_MT,2013,MT,2436,2083,4519
2013_NC,2013,NC,20564,8579,29143
2013_ND,2013,ND,1544,3193,4737
2013_NE,2013,NE,6789,512,7301
2013_NH,2013,NH,2872,657,3529
2013_NJ,2013,NJ,23320,3698,27018
2013_NM,2013,NM,5577,1354,6931
2013_NV,2013,NV,8627,7689,16316
2013_NY,2013,NY,158517,13636,172153
2013_OH,2013,OH,25438,3930,29368
2013_OK,2013,OK,7522,3169,10691
